decode,encode
02,[이름] 을 찾 아 줘
02,[이름] 좀 알려주라
02,[이름] 정보 아니
02,[이름] 알 고 있 어
02,[이름] 전화 번호 알 아
02,[이름] 연락처 알아
02,[이름] 연락처 알 고 있 니
02,[이름] 연락하고 싶어
02,[이름] 연락 하고 싶어
02,[이름] 검색 해 줘
02,[이름] 검색
02,[이름] [직급] 을 찾아줘
02,[이름] [직급] 을 찾 아 주 라
02,[이름] [직급] 좀 알려주라
02,[이름] [직급] 정보 아니
02,[이름] [직급] 알고있어
02,[이름] [직급] 전화 번호 알 아
02,[이름] [직급] 연락처 알아
02,[이름] [직급] 연락처 알 고 있 니
02,[이름] [직급] 전화 번호 아니
02,[이름] [직급] 연락 하고 싶어
02,[이름] [직급] 검색 해 줘
02,[이름] [직급] 검색
03,[업무] 담당자가 누구지
03,[업무] 담당자 검색
03,[업무] 담당자 검색해줘
03,[업무] 담당자 조회
03,[업무] 담당자 조회해줘
03,[업무] 는 누가 하고 있지?
03,[업무] 하는 사람 알고 있어?
03,[업무] 찾아줘
03,[업무] 는 하지?
04,[이름] 의 [날짜] [근태코드] 어디있지
04,[날짜] [이름] [근태코드]가 알아
04,[날짜] [이름] [근태코드]가 인가
04,[근태코드] [날짜] [이름] 가 인가
04,[근태코드] [이름] [날짜]가 인가
04,[날짜] [근태코드] [이름] 가 인가
04,[날짜] [근태코드] [이름] 가 인가
04,[날짜] [이름]의 [근태코드] 알아
04,[이름] [근태코드] 조회해줘
04,[이름] [근태코드] 알아
04,[이름] [근태코드] 어디
04,[근태코드] 알 아
04,[날짜] [근태코드] [이름] 가 인가
04,[날짜] [근태코드] [이름] 가 인가
04,[날짜] [이름]의 [근태코드] 알아
04,[근태코드] 알아봐 줘
04,[근태코드] 알 아
04,[근태코드] 조회해줘
06,[이름] 의 [직급] 을 찾 아 줘
06,[이름] 의 [직급] 좀 알려 주 라
06,[이름] 의 [직급] 정보 아니
06,[이름] 의 [직급] 알고있어
06,[이름] 의 [직급] 전화번호 알아
06,[이름] 의 [직급] 연락처 알아
06,[이름] 의 [직급] 연락처 알 고 있 니
06,[이름] 의 [직급] 연락 하 고 싶 어
06,[이름] 의 [직급] 전화 번호 아니
06,[이름] 의 [직급] 검색 해 줘
06,[이름] 의 [직급] 검색
06,[이름] 의 [직급] 좀 알려 주 라
06,[이름] 의 [직급] 정보 아니
07,[회의] 를 [시작시간] [끝시간] [장소]로 예약 해줘
07,[회의] 를 [장소]로 예약 해줘
07,[회의] 를 [이름] [시작시간] [끝시간] [장소]로 예약 해줘
07,[회의] 를 [이름] [이름] [이름] [시작시간] [끝시간] [장소]로 예약 해줘
07,[회의] 를 [이름] [이름] [이름] 참석자로 [시작시간] [끝시간] [장소]로 예약 해줘
07,[회의] 를 [이름] [이름] [시작시간] [끝시간] [장소]로 예약 해줘
07,[회의] 를 [이름] [이름] [장소]로 예약 해줘
07,[회의] 를 [시작시간] [끝시간] [이름] [이름] 예약 해줘
08,[이름] 의 사진
09,[이름] 의 집 전화
10,[이름] 의 휴대 전화
11,[이름] 의 교대근무 조
12,[이름] 의 직번은
